scenario,kernel,rotated,R,N,d,K,rep,rel_l2,fit_time,timestamp
A_approx_R,brownian,False,5,500,2,25,0,0.7933626958781224,24.483832120895386,1765207608.6954803
A_approx_R,brownian,False,5,500,2,25,1,0.8126924208009083,17.513056993484497,1765207642.610046
A_approx_R,brownian,False,5,500,2,25,2,0.8139836038680992,16.685205459594727,1765207673.3197968
A_approx_R,brownian,False,10,500,2,25,0,0.7835311232188059,16.909347772598267,1765207704.3748987
A_approx_R,brownian,False,10,500,2,25,1,0.8143930600231015,16.57637095451355,1765207734.529479
A_approx_R,brownian,False,10,500,2,25,2,0.8340318401712885,16.829697370529175,1765207765.62583
A_approx_R,brownian,False,20,500,2,25,0,0.8001749194544051,16.882240533828735,1765207796.2775927
A_approx_R,brownian,False,20,500,2,25,1,0.8372870244798492,17.017179012298584,1765207827.314944
A_approx_R,brownian,False,20,500,2,25,2,0.816279857697875,16.969447374343872,1765207858.4425173
A_approx_R,brownian,False,40,500,2,25,0,0.8198889489418932,17.16768741607666,1765207889.2467554
A_approx_R,brownian,False,40,500,2,25,1,0.8306480515573264,17.321359395980835,1765207920.8247905
A_approx_R,brownian,False,40,500,2,25,2,0.8433249860221825,17.220750093460083,1765207951.8478303
A_approx_R,brownian,True,5,500,2,25,0,0.8442300407610916,16.486770391464233,1765207982.5334487
A_approx_R,brownian,True,5,500,2,25,1,0.7476067069581188,4.922118186950684,1765208001.1571863
A_approx_R,brownian,True,5,500,2,25,2,0.8116880453893791,16.888469696044922,1765208032.0505052
A_approx_R,brownian,True,10,500,2,25,0,0.8503495469158457,16.738329648971558,1765208062.4378765
A_approx_R,brownian,True,10,500,2,25,1,0.898826305198913,16.724306344985962,1765208093.0254853
A_approx_R,brownian,True,10,500,2,25,2,0.8313936049795285,17.815447568893433,1765208124.8480132
A_approx_R,brownian,True,20,500,2,25,0,0.8099958536844527,17.07630681991577,1765208156.2601554
A_approx_R,brownian,True,20,500,2,25,1,0.8875392167563911,16.818417072296143,1765208187.2913542
A_approx_R,brownian,True,20,500,2,25,2,0.856656624237767,16.768356800079346,1765208217.8000374
A_approx_R,brownian,True,40,500,2,25,0,0.8284170559868613,17.28224015235901,1765208249.109442
A_approx_R,brownian,True,40,500,2,25,1,0.8128489047429303,16.999810934066772,1765208279.7970853
A_approx_R,brownian,True,40,500,2,25,2,0.861421361761607,17.459937572479248,1765208311.3747165
A_approx_R,ibm,False,5,500,2,25,0,1.0663707492058128,16.841933012008667,1765208366.1463625
A_approx_R,ibm,False,5,500,2,25,1,1.107802056875895,17.25689172744751,1765208419.657771
A_approx_R,ibm,False,5,500,2,25,2,1.0446187330602725,4.013079643249512,1765208460.9615304
A_approx_R,ibm,False,10,500,2,25,0,0.9023876868347698,8.21604323387146,1765208513.2374272
A_approx_R,ibm,False,10,500,2,25,1,0.9350147952529999,5.850772857666016,1765208578.8643706
A_approx_R,ibm,False,10,500,2,25,2,1.0434717017343134,23.589951992034912,1765208657.2423675
A_approx_R,ibm,False,20,500,2,25,0,1.0662265254168704,24.2804753780365,1765208735.76833
A_approx_R,ibm,False,20,500,2,25,1,1.0534646878827152,19.164928436279297,1765208803.167231
A_approx_R,ibm,False,20,500,2,25,2,1.1091445894356258,19.194478750228882,1765208867.8627768
A_approx_R,ibm,False,40,500,2,25,0,0.9249534914096527,2.271313190460205,1765208915.103168
A_approx_R,ibm,False,40,500,2,25,1,0.9246174975444503,2.2276525497436523,1765208963.2357523
A_approx_R,ibm,False,40,500,2,25,2,0.9331042483788997,2.178093910217285,1765209011.838802
A_approx_R,matern,False,5,500,2,25,0,0.761149781475272,2.7112255096435547,1765209036.4809768
A_approx_R,matern,False,5,500,2,25,1,0.7621393706401625,5.618023633956909,1765209064.0772438
A_approx_R,matern,False,5,500,2,25,2,0.7568560197470294,5.253326892852783,1765209091.064308
A_approx_R,matern,False,10,500,2,25,0,0.7713076378598748,19.22155523300171,1765209132.1167538
A_approx_R,matern,False,10,500,2,25,1,0.7793446378176722,19.344164848327637,1765209172.6227612
A_approx_R,matern,False,10,500,2,25,2,0.9509306989085211,19.181984663009644,1765209213.076444
A_approx_R,matern,False,20,500,2,25,0,0.933960887708935,19.502277612686157,1765209253.933586
A_approx_R,matern,False,20,500,2,25,1,0.9246278419986563,19.794636249542236,1765209295.5098999
A_approx_R,matern,False,20,500,2,25,2,0.9716046982352843,21.068629503250122,1765209337.8338995
A_approx_R,matern,False,40,500,2,25,0,0.7664411274564494,19.72924566268921,1765209378.333363
A_approx_R,matern,False,40,500,2,25,1,0.7780926823057259,19.246434450149536,1765209418.6118789
A_approx_R,matern,False,40,500,2,25,2,0.785954891250418,19.93412685394287,1765209460.052262
A_approx_R,matern,True,5,500,2,25,0,0.7557621952995814,5.4341747760772705,1765209486.6414287
A_approx_R,matern,True,5,500,2,25,1,0.7557421585722799,6.480149030685425,1765209514.4538188
A_approx_R,matern,True,5,500,2,25,2,0.7577023848730932,5.169154167175293,1765209540.9793222
A_approx_R,matern,True,10,500,2,25,0,0.773319801648999,18.90387511253357,1765209580.771278
A_approx_R,matern,True,10,500,2,25,1,0.7701600896766605,17.38741683959961,1765209616.1365805
A_approx_R,matern,True,10,500,2,25,2,0.7759059055615031,17.675381898880005,1765209652.8287084
A_approx_R,matern,True,20,500,2,25,0,0.9466576839245864,19.96303081512451,1765209691.9804387
A_approx_R,matern,True,20,500,2,25,1,0.963639952135575,17.456813097000122,1765209726.6589127
A_approx_R,matern,True,20,500,2,25,2,0.9900796276291067,17.820820331573486,1765209761.5133674
